City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Esna,25.2934,32.554,80.62,16,0,8.16,EG,1652334566
Nagato,34.3833,131.2,65.19,96,100,5.19,JP,1652334566
Segezha,63.7415,34.3222,45.95,83,76,7.38,RU,1652334567
Hualmay,-11.0964,-77.6139,62.98,90,13,6.33,PE,1652334568
East London,-33.0153,27.9116,54.54,87,0,4.61,ZA,1652334568
Pangnirtung,66.1451,-65.7125,12.27,79,80,5.95,CA,1652334569
Hokitika,-42.7167,170.9667,54.05,77,83,4.14,NZ,1652334569
Port Lincoln,-34.7333,135.8667,63.9,64,15,5.64,AU,1652334570
Kurchum,48.5722,83.6542,68.36,26,40,5.88,KZ,1652334571
Djenné,13.9061,-4.5533,86.31,6,35,6.24,ML,1652334571
Thunder Bay,48.4001,-89.3168,58.28,43,100,3.44,CA,1652334572
Fort Nelson,58.8053,-122.7002,42.39,75,75,3.44,CA,1652334572
Grand Gaube,-20.0064,57.6608,80.38,75,7,3,MU,1652334573
Santa Cruz de la Sierra,-17.8,-63.1667,67.46,83,75,4.61,BO,1652334573
Balkanabat,39.5108,54.3671,73.71,41,96,4.25,TM,1652334574
Pemberton,50.3164,-122.8027,38.86,96,100,2.44,CA,1652334575
Turukhansk,65.8167,87.9833,40.28,99,100,4.72,RU,1652334575
Paamiut,61.994,-49.6678,34.23,96,100,34.09,GL,1652334576
Sarangani,5.4033,125.4636,82.98,77,81,11.01,PH,1652334576
Maple Creek,49.9168,-109.4848,52.21,60,60,2.3,CA,1652334577
Aransas Pass,27.9095,-97.15,80.64,84,0,11.5,US,1652334578
Costa Rica,-23.4167,-54.65,53.02,92,0,4.03,BR,1652334578
Anshun,26.25,105.9333,65.95,71,97,3,CN,1652334579
Grimstad,58.3405,8.5934,50.23,62,57,18.99,NO,1652334579
Porto-Vecchio,41.591,9.2795,62.13,94,0,2.3,FR,1652334580
Xaltepec,18.8667,-97.6,55.17,75,6,6.46,MX,1652334580
Half Moon Bay,37.4636,-122.4286,52.88,77,0,17.27,US,1652334417
Micheweni,-4.9667,39.8333,81.99,69,26,13.15,TZ,1652334581
Çubuk,40.2386,33.0322,53.76,54,20,1.14,TR,1652334582
Sozimskiy,59.7418,52.2482,51.96,44,18,12.84,RU,1652334582
Las Margaritas,16.3167,-91.9833,59.94,88,18,6.02,MX,1652334583
Easton,40.6884,-75.2207,57.38,80,0,4.85,US,1652334583
Bucerías,20.75,-105.3333,78.98,81,0,3.74,MX,1652334584
Shirokiy,49.758,129.523,50.81,56,72,10.89,RU,1652334585
Ketchikan,55.3422,-131.6461,46.87,93,100,0,US,1652334585
Morondava,-20.2833,44.2833,74.93,55,0,5.08,MG,1652334586
Amazar,53.858,120.875,42.39,65,100,4.83,RU,1652334586
Washougal,45.5826,-122.3534,51.69,73,100,5.01,US,1652334308
Pajapan,18.25,-94.7,75.99,85,1,6.42,MX,1652334587
Bull Savanna,17.8868,-77.5902,73.98,85,4,7.61,JM,1652334588
Poso,-1.3959,120.7524,86.76,70,95,5.84,ID,1652334588
Hatta,24.1167,79.6,106.16,18,1,8.05,IN,1652334589
San Cristobal,7.7669,-72.225,66.38,96,96,2.21,VE,1652334590
Emba,48.8264,58.1442,52.39,68,100,9.78,KZ,1652334590
Richards Bay,-28.783,32.0377,70.14,83,98,4.43,ZA,1652334591
Sungai Penuh,-2.0833,101.3833,76.26,62,99,4.83,ID,1652334591
Willowmore,-33.2926,23.4895,50.07,72,0,1.43,ZA,1652334592
Stadtlohn,51.9833,6.9333,55.44,81,9,9.93,DE,1652334593
Husavik,66.0449,-17.3389,31.95,92,100,8.84,IS,1652334593
Manta,-0.95,-80.7333,76.78,83,100,8.05,EC,1652334594
Polewali,-3.4324,119.3435,84.96,81,90,5.21,ID,1652334594
Meadow Lake,34.8014,-106.5436,74.68,25,83,8.3,US,1652334595
Lagan,45.3929,47.3707,59.67,49,31,19.82,RU,1652334595
Klaksvík,62.2266,-6.589,40.12,73,100,7.83,FO,1652334596
Soyo,-6.1349,12.3689,76.05,87,93,3.18,AO,1652334596
Bengkulu,-3.8004,102.2655,82.63,72,92,20.85,ID,1652334597
Ambilobe,-13.2,49.05,79.99,75,6,4.38,MG,1652334597
Voyvozh,62.892,54.9635,47.19,94,100,7.81,RU,1652334598
Bealanana,-14.55,48.7333,67.6,81,97,4.23,MG,1652334598
Prado,-17.3411,-39.2208,70.18,91,32,7.18,BR,1652334599
Krasnovishersk,60.4078,57.082,51.12,56,67,10.96,RU,1652334600
Bairiki Village,1.3292,172.9752,84.2,79,75,4.61,KI,1652334600
Havelock,34.8791,-76.9013,60.78,93,100,18.41,US,1652334601
Tilichiki,60.4667,166.1,33.22,96,96,1.61,RU,1652334602
Barcelos,41.5388,-8.6151,61.92,80,100,2.53,PT,1652334602
Matagami,49.7502,-77.6328,52.23,52,55,5.23,CA,1652334603
Mitsamiouli,-11.3847,43.2844,82.69,61,20,3.44,KM,1652334604
Wukari,7.85,9.7833,74.57,87,100,4.32,NG,1652334604
High Level,58.5169,-117.136,42.91,81,20,3.44,CA,1652334605
El Salvador,13.8333,-88.9167,75.06,77,52,2.17,SV,1652334593
Saint-Augustin,51.226,-58.6502,44.11,76,85,11.36,CA,1652334606
Santa Fe,-31.6333,-60.7,55,82,0,4,AR,1652334606
Severnyy,50.677,36.5532,59.04,41,0,11.18,RU,1652334607
Dharmavaram,14.4333,77.7167,77.7,74,100,20.67,IN,1652334608
Vila Velha,-20.3297,-40.2925,69.75,88,0,3.44,BR,1652334609
Carballo,43.213,-8.691,59.02,90,100,4.56,ES,1652334610
Tamandaré,-8.7597,-35.1047,75.34,86,26,3.33,BR,1652334611
Gōtsuchō,35,132.2167,65.01,98,100,5.82,JP,1652334611
Wattegama,6.7989,81.4808,91.35,49,97,15.17,LK,1652334612
Turaif,31.6725,38.6637,64.65,42,0,5.75,SA,1652334613
Katano,34.7921,135.6783,68.94,78,100,9.62,JP,1652334613
Ponta Delgada,37.7333,-25.6667,59.72,67,20,14.97,PT,1652334614
Olafsvik,64.8945,-23.7142,35.19,97,100,17.16,IS,1652334363
Ontario,34.0633,-117.6509,58.39,46,0,6.91,US,1652334454
Praia da Vitória,38.7333,-27.0667,59.25,77,75,6.02,PT,1652334615
Codrington,-38.2667,141.9667,61.66,78,79,7.76,AU,1652334615
Naze,28.3667,129.4833,70.72,82,99,13.31,JP,1652334616
Riviere-au-Renard,48.9957,-64.3971,44.89,68,86,10.22,CA,1652334617
Okhotsk,59.3833,143.3,38.8,75,100,2.98,RU,1652334617
Pāsighāt,28.0667,95.3333,85.93,62,69,4.7,IN,1652334618
Senneterre,48.3835,-77.2328,56.41,86,21,3.78,CA,1652334619
Hazorasp,41.3194,61.0742,66.04,20,60,5.39,UZ,1652334619
Yoichi,43.2039,140.7703,59.79,76,82,1.86,JP,1652334620
Lethem,3.3803,-59.7968,77.59,77,22,10.4,GY,1652334620
Ouadda,8.0777,22.4007,73.76,77,93,4.9,CF,1652334621
Tarakan,3.3,117.6333,76.5,94,75,4.61,ID,1652334622
Gayéri,12.6497,0.4931,85.08,49,62,6.13,BF,1652334623
Krasnosel'kup,65.7,82.4667,38.79,100,100,2.84,RU,1652334623
Broome,42.2506,-75.833,58.55,65,0,1.99,US,1652334624
Santana do Acaraú,-3.4606,-40.2122,72.61,98,94,0.96,BR,1652334624
Nhulunbuy,-12.2333,136.7667,84.81,70,40,13.8,AU,1652334625
Ribeira Grande,38.5167,-28.7,58.96,75,95,6.06,PT,1652334626
Sola,-13.8833,167.55,76.82,92,100,18.37,VU,1652334626
Yangjiang,21.85,111.9667,81.01,86,100,9.15,CN,1652334627
Florø,61.5996,5.0328,44.56,100,75,14.97,NO,1652334628
Inta,66.0317,60.1659,57.92,51,38,9.06,RU,1652334628
Manadhoo,5.7667,73.3833,83.19,78,81,16.58,MV,1652334629
Phan Thiet,10.9333,108.1,90.81,60,64,11.7,VN,1652334414
Itaituba,-4.2761,-55.9836,75.29,88,78,1.41,BR,1652334629
Buin,-33.7333,-70.75,65.05,53,100,2.46,CL,1652334630
Voznesen'ye,61.0106,35.4781,47.32,84,83,3.38,RU,1652334630
Chapais,49.7834,-74.8492,37.18,72,60,3.89,CA,1652334467
Srednekolymsk,67.45,153.6833,33.91,99,62,8.48,RU,1652334631
Kedrovyy,56.1667,91.8167,63.01,20,0,6.8,RU,1652334632
Juneau,58.3019,-134.4197,46.4,91,75,3.44,US,1652334474
Los Llanos de Aridane,28.6585,-17.9182,62.35,84,75,5.01,ES,1652334633
Chulumani,-16.4096,-67.5263,60.22,96,89,1.07,BO,1652334633
Puerto Nariño,-3.7703,-70.3831,72.41,99,70,1.36,CO,1652334634
Griffith,41.5284,-87.4237,79.9,77,0,5.75,US,1652334634
Store Heddinge,55.3097,12.3889,52.68,87,69,18.12,DK,1652334635
Nevel'sk,46.6733,141.8633,51.22,70,87,12.71,RU,1652334635
Cape Canaveral,28.4058,-80.6048,72,84,20,9.22,US,1652334636
Punta Ocote,15.2,-87.2833,66.81,97,11,2.46,HN,1652334636
Laela,-8.5667,32.05,63.18,71,33,4.74,TZ,1652334637
Sur,22.5667,59.5289,95.22,32,100,1.74,OM,1652334637
Stornoway,58.2093,-6.3865,45.93,86,40,8.05,GB,1652334638
Waingapu,-9.6567,120.2641,85.21,62,58,5.57,ID,1652334639
Garut,-7.2024,107.8878,82.67,63,100,0.98,ID,1652334639
Bellegarde-sur-Valserine,46.1079,5.8242,65.89,70,60,3,FR,1652334640
Garden City,42.3256,-83.331,65.21,54,0,0,US,1652334417
Coihueco,-36.6167,-71.8333,50.74,93,100,4.61,CL,1652334641
Belyy Yar,53.6039,91.3903,67.89,13,0,11.18,RU,1652334641
Laas,46.6166,10.7002,56.28,87,65,0.72,IT,1652334642
Yerraguntla,14.6372,78.5395,76.62,55,100,17.2,IN,1652334642
Ossora,59.2353,163.0719,34.29,98,100,2.26,RU,1652334643
Peleduy,59.6289,112.7406,51.8,77,80,6.17,RU,1652334643
Ulaangom,49.9811,92.0667,55.62,16,2,12.08,MN,1652334644
Laichow,37.1717,119.9214,65.57,47,84,15.88,CN,1652334644
Zhigansk,66.7697,123.3711,35.98,100,100,12.03,RU,1652334645
Sisimiut,66.9395,-53.6735,22.68,69,1,11.16,GL,1652334645
Tawao,4.2498,117.8871,78.93,94,100,1.01,MY,1652334646
Kapuskasing,49.4169,-82.4331,51.89,87,40,2.3,CA,1652334646
Borogontsy,62.6683,131.1683,46.94,59,96,2.28,RU,1652334647
Kaduqli,11.0167,29.7167,91.45,40,67,9.37,SD,1652334648
Esim,4.8699,-2.2405,79.52,83,100,4.05,GH,1652334648
Ust-Maya,60.4167,134.5333,48.13,50,65,6.98,RU,1652334649
Itaueira,-7.6033,-43.0256,77.34,57,100,4.27,BR,1652334649
Atasū,48.6814,71.6433,67.46,32,25,1.12,KZ,1652334650
Fairbanks,64.8378,-147.7164,48.2,47,75,4.61,US,1652334429
Indian Head,38.6001,-77.1622,60.19,83,0,6.91,US,1652334459
Jacqueville,5.2052,-4.4146,80.2,83,100,5.97,CI,1652334651
Assaí,-23.3733,-50.8414,58.86,93,59,3.4,BR,1652334651
KwaDukuza,-29.3282,31.2895,62.49,80,100,1.48,ZA,1652334652
Bada,51.392,109.8717,55.13,27,98,11.54,RU,1652334653
Ylöjärvi,61.5563,23.5961,46.31,94,75,9.22,FI,1652334654
Laramie,41.3114,-105.5911,52.09,83,0,4.61,US,1652334655
San Rafael del Sur,11.8485,-86.4384,81.57,70,95,11.45,NI,1652334656
Tiznit Province,29.5833,-9.5,67.26,61,75,3.53,MA,1652334657
Nome,64.5011,-165.4064,39.16,87,75,18.41,US,1652334658
Mugango,-1.6833,33.7,69.98,83,98,5.86,TZ,1652334659
Itupiranga,-5.1347,-49.3267,79.12,92,89,1.79,BR,1652334660
Nyurba,63.2842,118.3319,48.36,73,94,7.94,RU,1652334531
Nha Trang,12.25,109.1833,91.4,71,58,11.23,VN,1652334661
Port Hawkesbury,45.6169,-61.3485,48.9,99,100,3.44,CA,1652334662
Kawalu,-7.3817,108.2082,88.75,56,100,2.59,ID,1652334663
Burnie,-41.0667,145.9167,62.92,87,100,7.81,AU,1652334664
Hamilton,39.1834,-84.5333,67.01,63,0,0,US,1652334665
Sørland,67.667,12.6934,42.66,86,100,5.82,NO,1652334666
Valdez,1.2492,-78.9831,78.89,83,99,8.37,EC,1652334655
Whitianga,-36.8333,175.7,53.28,69,0,2.3,NZ,1652334667
Tres Marías,19.0522,-99.2431,57.47,48,41,3.58,MX,1652334668
Karratha,-20.7377,116.8463,82.2,40,45,15.05,AU,1652334668
Praia,14.9215,-23.5087,77.54,41,0,12.66,CV,1652334669
Bereda,43.2686,-7.5406,58.41,92,100,5.08,ES,1652334670
